date,hits,artist,title,type,style,search_google,search_beatport
2026-04-25 01:32,1,Ohema Khaky,Carry Me Go Kaid Boy Spyc,🚀 Auto,5,https://www.google.com/search?q=Ohema%20Khaky%20Carry%20Me%20Go%20Kaid%20Boy%20Spyc,https://www.beatport.com/search?q=Ohema%20Khaky%20Carry%20Me%20Go%20Kaid%20Boy%20Spyc
2026-04-25 01:29,1,Kevin MacLeod,Stay the Course,🚀 Auto,5,https://www.google.com/search?q=Kevin%20MacLeod%20Stay%20the%20Course,https://www.beatport.com/search?q=Kevin%20MacLeod%20Stay%20the%20Course
2026-04-25 01:04,1,ID,Shake It to the Max (Mixed),🚀 Auto,5,https://www.google.com/search?q=ID%20Shake%20It%20to%20the%20Max%20%28Mixed%29,https://www.beatport.com/search?q=ID%20Shake%20It%20to%20the%20Max%20%28Mixed%29
2026-04-25 01:03,1,J Capri & Charly Black,Whine & Kotch,🚀 Auto,5,https://www.google.com/search?q=J%20Capri%20%26%20Charly%20Black%20Whine%20%26%20Kotch,https://www.beatport.com/search?q=J%20Capri%20%26%20Charly%20Black%20Whine%20%26%20Kotch
2026-04-25 01:02,1,Montell Jordan,This Is How We Do It,🚀 Auto,5,https://www.google.com/search?q=Montell%20Jordan%20This%20Is%20How%20We%20Do%20It,https://www.beatport.com/search?q=Montell%20Jordan%20This%20Is%20How%20We%20Do%20It
2026-04-25 01:00,1,BonnieMcRed,The Robbing Plan (Pt.1),🚀 Auto,5,https://www.google.com/search?q=BonnieMcRed%20The%20Robbing%20Plan%20%28Pt.1%29,https://www.beatport.com/search?q=BonnieMcRed%20The%20Robbing%20Plan%20%28Pt.1%29
2026-04-25 00:59,1,mitch murder,Arrival,🚀 Auto,5,https://www.google.com/search?q=mitch%20murder%20Arrival,https://www.beatport.com/search?q=mitch%20murder%20Arrival
2026-04-25 00:57,1,veneris,Vivaldi Winter Drill #2,🚀 Auto,5,https://www.google.com/search?q=veneris%20Vivaldi%20Winter%20Drill%20%232,https://www.beatport.com/search?q=veneris%20Vivaldi%20Winter%20Drill%20%232
2026-04-25 00:55,1,Niyi Kosiberu,Lala (Hustler Anthem),🚀 Auto,5,https://www.google.com/search?q=Niyi%20Kosiberu%20Lala%20%28Hustler%20Anthem%29,https://www.beatport.com/search?q=Niyi%20Kosiberu%20Lala%20%28Hustler%20Anthem%29
2026-04-25 00:55,1,Gordon Arzu,Callao,🚀 Auto,5,https://www.google.com/search?q=Gordon%20Arzu%20Callao,https://www.beatport.com/search?q=Gordon%20Arzu%20Callao
2026-04-25 00:52,1,David Temessi,F****n Clown (Stephen Advance 2012 Remix),🚀 Auto,5,https://www.google.com/search?q=David%20Temessi%20F%2A%2A%2A%2An%20Clown%20%28Stephen%20Advance%202012%20Remix%29,https://www.beatport.com/search?q=David%20Temessi%20F%2A%2A%2A%2An%20Clown%20%28Stephen%20Advance%202012%20Remix%29
2026-04-25 00:51,1,Dalip Shekhawat,Woma Tnrp (Slowed & Reverb),🚀 Auto,5,https://www.google.com/search?q=Dalip%20Shekhawat%20Woma%20Tnrp%20%28Slowed%20%26%20Reverb%29,https://www.beatport.com/search?q=Dalip%20Shekhawat%20Woma%20Tnrp%20%28Slowed%20%26%20Reverb%29
2026-04-25 00:49,1,Lucas & Steve & CRCLE,Every Day,🚀 Auto,5,https://www.google.com/search?q=Lucas%20%26%20Steve%20%26%20CRCLE%20Every%20Day,https://www.beatport.com/search?q=Lucas%20%26%20Steve%20%26%20CRCLE%20Every%20Day
2026-04-25 00:47,1,Alex Barrera,Top,🚀 Auto,5,https://www.google.com/search?q=Alex%20Barrera%20Top,https://www.beatport.com/search?q=Alex%20Barrera%20Top
2026-04-25 00:46,2,John Summit,EAT THE BASS,🚀 Auto,5,https://www.google.com/search?q=John%20Summit%20EAT%20THE%20BASS,https://www.beatport.com/search?q=John%20Summit%20EAT%20THE%20BASS
2026-04-25 00:45,1,Robosonic & Klangkuenstler,Nuts,🚀 Auto,5,https://www.google.com/search?q=Robosonic%20%26%20Klangkuenstler%20Nuts,https://www.beatport.com/search?q=Robosonic%20%26%20Klangkuenstler%20Nuts
2026-04-25 00:44,1,Keepin It Heale & AZ2A,Don't Stop The Music,🚀 Auto,5,https://www.google.com/search?q=Keepin%20It%20Heale%20%26%20AZ2A%20Don%27t%20Stop%20The%20Music,https://www.beatport.com/search?q=Keepin%20It%20Heale%20%26%20AZ2A%20Don%27t%20Stop%20The%20Music
2026-04-25 00:41,1,JC ARCILA & Exotycon,Fly Infierno,🚀 Auto,5,https://www.google.com/search?q=JC%20ARCILA%20%26%20Exotycon%20Fly%20Infierno,https://www.beatport.com/search?q=JC%20ARCILA%20%26%20Exotycon%20Fly%20Infierno
2026-04-25 00:41,1,JaskersThis,Conditus,🚀 Auto,5,https://www.google.com/search?q=JaskersThis%20Conditus,https://www.beatport.com/search?q=JaskersThis%20Conditus
2026-04-25 00:39,1,Block & Crown,Intergalactic Kiss,🚀 Auto,5,https://www.google.com/search?q=Block%20%26%20Crown%20Intergalactic%20Kiss,https://www.beatport.com/search?q=Block%20%26%20Crown%20Intergalactic%20Kiss
